Site,SiteAZ,Year,KD,KDD
HMCA,A,2010,0.018185405,0.000920254
HMCA,A,2011,0.022130001,0.000960747
HMCA,A,2012,0.055766237,0.002703249
HMCA,A,2013,0.01187859,0.000551113
HMCA,A,2014,0.01528483,0.000759344
HMCA,A,2015,0.037495918,0.001723092
HMCA,A,2016,0.018828353,0.000815837
HMCA,A,2017,0.020447054,0.000950207
HMCA,A,2018,0.011708668,0.000537025
HMCB,B,2010,0.067821735,0.005295815
HMCB,B,2011,0.030333267,0.002380324
HMCB,B,2012,0.033312897,0.003088151
HMCB,B,2013,0.018578596,0.001198851
HMCB,B,2014,0.019249604,0.001141639
HMCB,B,2015,0.04266123,0.00261605
HMCB,B,2016,0.068239064,0.003821388
HMCB,B,2017,0.02629996,0.001643747
HMCB,B,2018,0.059162523,0.00314163
HMCD,C,2010,0.035297197,0.002057292
HMCD,C,2011,0.036240807,0.002084502
HMCD,C,2012,0.024481655,0.001394042
HMCD,C,2013,0.034305154,0.001493804
HMCD,C,2014,0.036164024,0.002624549
HMCD,C,2015,0.044654139,0.00292782
HMCD,C,2016,0.033543722,0.002009036
HMCD,C,2017,0.028547354,0.002002022
HMCD,C,2018,0.020104829,0.001298831
HMCC,D,2010,0.008971234,0.000468296
HMCC,D,2011,0.011814996,0.000176396
HMCC,D,2012,0.009882324,0.000492516
HMCC,D,2013,0.027939751,0.001538815
HMCC,D,2014,0.009244757,0.000544204
HMCC,D,2015,0.031140967,0.001572578
HMCC,D,2016,0.004013135,0.000197691
HMCC,D,2017,0.002439952,0.000143527
HMCC,D,2018,0.005821961,0.000321622
BBA,E,2010,0.053321733,0.003159984
BBA,E,2011,0.036759755,0.002118111
BBA,E,2012,0.052097137,0.002848784
BBA,E,2013,0.012761726,0.000786507
BBA,E,2014,0.037247762,0.00242806
BBA,E,2015,0.014495336,0.000919755
BBA,E,2016,0.023235781,0.001419598
BBA,E,2017,0.018917089,0.00123579
BBA,E,2018,0.038228702,0.002302891
BBB,F,2010,0.021441796,0.001319506
BBB,F,2011,0.011055515,0.000583228
BBB,F,2012,0.008984591,0.000444653
BBB,F,2013,0.046897854,0.002979376
BBB,F,2014,0.01459894,0.000980129
BBB,F,2015,0.030172019,0.001925669
BBB,F,2016,0.025012551,0.001429289
BBB,F,2017,0.021619478,0.001401762
BBB,F,2018,0.013193425,0.000811942
STMF,G,2010,0.039922528,0.002381657
STMF,G,2011,0.063915853,0.003550223
STMF,G,2012,0.058907868,0.003251647
STMF,G,2013,0.037537119,0.002862302
STMF,G,2014,0.062572608,0.004192704
STMF,G,2015,0.049949075,0.003025078
STMF,G,2016,0.073131087,0.004167862
STMF,G,2017,0.050127796,0.003245685
STMF,G,2018,0.046482839,0.003008279
550A,H,2010,0.024719812,0.001585377
550A,H,2011,0.019609661,0.001192917
550A,H,2012,0.043753232,0.002461203
550A,H,2013,0.018055925,0.001203528
550A,H,2014,0.016997506,0.001186192
550A,H,2015,0.005984686,0.0003936
550A,H,2016,0.016034495,0.001038552
550A,H,2017,0.018197808,0.001279533
550A,H,2018,0.024742517,0.001714032
STMB,I,2010,0.041938069,0.002862596
STMB,I,2011,0.077522312,0.00483857
STMB,I,2012,0.093736866,0.00629576
STMB,I,2013,0.053383282,0.00385973
STMB,I,2014,0.061367727,0.004545758
STMB,I,2015,0.059192286,0.00395208
STMB,I,2016,0.070445291,0.004551149
STMB,I,2017,0.047759168,0.0035471
STMB,I,2018,0.051085576,0.003323473
NW1,J,2010,0.039650982,0.004020452
NW1,J,2011,0.030129696,0.002985655
NW1,J,2012,0.037101362,0.003650561
NW1,J,2013,0.035763714,0.003419366
NW1,J,2014,0.031652369,0.003429912
NW1,J,2015,0.036063129,0.003722005
NW1,J,2016,0.044234541,0.004154871
NW1,J,2017,0.03815619,0.004016441
NW1,J,2018,0.04377508,0.004548425
NW2,K,2010,0.04739401,0.005034445
NW2,K,2011,0.028474468,0.002997312
NW2,K,2012,0.014821107,0.001484301
NW2,K,2013,0.024358705,0.002664337
NW2,K,2014,0.025884172,0.002915158
NW2,K,2015,0.029741996,0.003177281
NW2,K,2016,0.021702045,0.002223407
NW2,K,2017,0.013031682,0.001459548
NW2,K,2018,0.026022726,0.002823159
YD550,L,2010,0.022388431,0.00126766
YD550,L,2011,0.011419294,0.000754547
YD550,L,2012,0.026629238,0.001425321
YD550,L,2013,0.014916506,0.000929957
YD550,L,2014,0.015835654,0.001000342
YD550,L,2015,0.012606603,0.000752596
YD550,L,2016,0.012442753,0.000696794
YD550,L,2017,0.01774811,0.001089089
YD550,L,2018,0.015645354,0.000936172
AAA,M,2010,0.020845201,0.001564559
AAA,M,2011,0.006068889,0.000420013
AAA,M,2012,0.019161469,0.001311198
AAA,M,2013,0.009187739,0.000667148
AAA,M,2014,0.023799558,0.001979859
AAA,M,2015,0.019706571,0.001420976
AAA,M,2016,0.01801981,0.001197898
AAA,M,2017,0.01196474,0.000920365
AAA,M,2018,0.017525959,0.001380181
510A,N,2010,0.012853796,0.000818975
510A,N,2011,0.011550599,0.00071447
510A,N,2012,0.008569727,0.000512821
510A,N,2013,0.003815897,0.000222163
510A,N,2014,0.015167841,0.001112039
510A,N,2015,0.005788043,0.000398854
510A,N,2016,0.006155374,0.000396398
510A,N,2017,0.008730782,0.000619727
510A,N,2018,0.007030222,0.000467085
YD510,O,2010,0.045794407,0.002724956
YD510,O,2011,0.048674498,0.002720386
YD510,O,2012,0.03129584,0.001727743
YD510,O,2013,0.023256106,0.001465994
YD510,O,2014,0.025004023,0.001651221
YD510,O,2015,0.036842116,0.003077442
YD510,O,2016,0.015682918,0.000939901
YD510,O,2017,0.009602238,0.00062024
YD510,O,2018,0.022324886,0.001397405
550B,P,2010,0.060628278,0.003467287
550B,P,2011,0.034329781,0.001890074
550B,P,2012,0.069199096,0.003875009
550B,P,2013,0.035723562,0.002195109
550B,P,2014,0.034054417,0.002083586
550B,P,2015,0.042467328,0.002646901
550B,P,2016,0.047198119,0.002733859
550B,P,2017,0.041777798,0.002679336
550B,P,2018,0.026356199,0.001623407
YDP1,Q,2010,0.016031254,0.000847548
YDP1,Q,2011,0.010388309,0.000508094
YDP1,Q,2012,0.01482006,0.000719002
YDP1,Q,2013,0.006083853,0.000347798
YDP1,Q,2014,0.010790824,0.000626736
YDP1,Q,2015,0.004553558,0.000243008
YDP1,Q,2016,0.016859076,0.000848713
YDP1,Q,2017,0.004503669,0.000253728
YDP1,Q,2018,0.012262246,0.000669272
510B,R,2010,0.034045587,0.00198374
510B,R,2011,0.026975623,0.001535266
510B,R,2012,0.029911677,0.001617151
510B,R,2013,0.020907908,0.001342432
510B,R,2014,0.028137138,0.001885801
510B,R,2015,0.040232365,0.002573636
510B,R,2016,0.012285791,0.000754563
510B,R,2017,0.010693251,0.000723603
510B,R,2018,0.031343198,0.001930716
550C,S,2010,0.068927539,0.00448891
550C,S,2011,0.051859961,0.003303255
550C,S,2012,0.077620322,0.004615579
550C,S,2013,0.060007041,0.00423604
550C,S,2014,0.076799618,0.005014828
550C,S,2015,0.051074217,0.003625499
550C,S,2016,0.054792528,0.003513951
550C,S,2017,0.031714859,0.002271356
550C,S,2018,0.039306344,0.002756613
YDP2,T,2010,0.03615829,0.001703745
YDP2,T,2011,0.017994352,0.000871497
YDP2,T,2012,0.056956454,0.002697605
YDP2,T,2013,0.019870581,0.001126557
YDP2,T,2014,0.027057035,0.001545528
YDP2,T,2015,0.010278375,0.000559114
YDP2,T,2016,0.00653148,0.000318331
YDP2,T,2017,0.002352062,0.000135231
YDP2,T,2018,0.005113985,0.000283527
510C,U,2010,0.030100291,0.002131256
510C,U,2011,0.025673654,0.001730702
510C,U,2012,0.030572564,0.00205746
510C,U,2013,0.021972427,0.001629998
510C,U,2014,0.030291953,0.002448903
510C,U,2015,0.019732205,0.00148316
510C,U,2016,0.008918296,0.000525019
510C,U,2017,0.033700409,0.002607195
510C,U,2018,0.009541252,0.000802158
510D,V,2010,0.033854531,0.002534305
510D,V,2011,0.006444212,0.000405892
510D,V,2012,0.02354405,0.001712295
510D,V,2013,0.019059841,0.001518565
510D,V,2014,0.035857369,0.002732031
510D,V,2015,0.012629149,0.001000659
510D,V,2016,0.008969404,0.000702892
510D,V,2017,0.00569086,0.000453254
510D,V,2018,0.005691681,0.000446912
510E,W,2010,0.019632451,0.001128056
510E,W,2011,0.012276591,0.000609185
510E,W,2012,0.006787056,0.000356195
510E,W,2013,0.005993457,0.000360744
510E,W,2014,0.012682541,0.000822829
510E,W,2015,0.01791037,0.001055569
510E,W,2016,0.006204977,0.000356169
510E,W,2017,0.002011328,0.000130543
510E,W,2018,0.002846441,0.000167928
510F,X,2010,0.010197885,0.000635988
510F,X,2011,0.003564699,0.000233114
510F,X,2012,0.004564127,0.00034047
510F,X,2013,0.00719986,0.000531682
510F,X,2014,0.010544962,0.000775317
510F,X,2015,0.003124092,0.000241896
510F,X,2016,0.00344545,0.00023185
510F,X,2017,0.00645978,0.000458984
510F,X,2018,0.012976514,0.000892073
510G,Y,2010,0.020657532,0.001469161
510G,Y,2011,0.011933717,0.000953236
510G,Y,2012,0.018927526,0.001394953
510G,Y,2013,0.010231942,0.000843698
510G,Y,2014,0.012756888,0.001216282
510G,Y,2015,0.014392396,0.001192246
510G,Y,2016,0.013795707,0.001049959
510G,Y,2017,0.017901373,0.001434235
510G,Y,2018,0.012953656,0.001035629
WLA,Z,2010,0.008759023,0.000480678
WLA,Z,2011,0.002217509,0.00011643
WLA,Z,2012,0.013808323,0.000696127
WLA,Z,2013,0.007468971,0.000420965
WLA,Z,2014,0.014045159,0.000839803
WLA,Z,2015,0.006686981,0.000371757
WLA,Z,2016,0.008510536,0.000460919
WLA,Z,2017,0.004743824,0.000274857
WLA,Z,2018,0.003702498,0.000205597
